timestamp,endereco_mac,user,cpu,ram,disco,quantidade_processos,bateria,temp_cpu

2025-10-26 18:30:37,0A-00-27-00-00-09,User,2.2,45.8,15.1,229,41,N/A
2025-10-26 18:30:50,0A-00-27-00-00-09,User,2.9,45.3,15.1,229,41,N/A
2025-10-26 18:31:03,0A-00-27-00-00-09,User,1.2,45.2,15.1,228,41,N/A
2025-10-26 18:31:16,0A-00-27-00-00-09,User,3.0,44.1,15.1,227,40,N/A
2025-10-26 18:31:28,0A-00-27-00-00-09,User,2.2,44.9,15.1,232,40,N/A
2025-10-26 18:31:41,0A-00-27-00-00-09,User,0.9,44.7,15.1,232,40,N/A
2025-10-26 18:31:54,0A-00-27-00-00-09,User,1.7,44.6,15.1,232,40,N/A
2025-10-26 18:32:07,0A-00-27-00-00-09,User,1.0,44.3,15.1,232,40,N/A
2025-10-26 18:32:20,0A-00-27-00-00-09,User,2.9,44.3,15.1,233,40,N/A
2025-10-26 18:32:33,0A-00-27-00-00-09,User,0.9,44.2,15.1,231,40,N/A
2025-10-26 18:32:46,0A-00-27-00-00-09,User,1.9,44.1,15.1,228,40,N/A
2025-10-26 18:32:59,0A-00-27-00-00-09,User,2.7,44.0,15.1,228,40,N/A
2025-10-26 18:33:12,0A-00-27-00-00-09,User,2.1,44.1,15.1,228,40,N/A
2025-10-26 18:33:25,0A-00-27-00-00-09,User,2.1,40.5,15.1,226,40,N/A
2025-10-26 18:33:38,0A-00-27-00-00-09,User,1.8,40.6,15.1,226,40,N/A
2025-10-26 18:33:51,0A-00-27-00-00-09,User,1.8,40.9,15.1,230,40,N/A
2025-10-26 18:34:04,0A-00-27-00-00-09,User,2.0,40.9,15.1,230,39,N/A
2025-10-26 18:34:17,0A-00-27-00-00-09,User,1.6,40.7,15.1,229,39,N/A
2025-10-26 18:34:30,0A-00-27-00-00-09,User,1.2,40.9,15.1,231,39,N/A
2025-10-26 18:34:43,0A-00-27-00-00-09,User,3.6,40.8,15.1,229,39,N/A
2025-10-26 18:34:56,0A-00-27-00-00-09,User,2.2,40.8,15.1,229,39,N/A
2025-10-26 18:35:09,0A-00-27-00-00-09,User,4.9,40.7,15.1,229,39,N/A
2025-10-26 18:35:22,0A-00-27-00-00-09,User,1.8,40.6,15.1,229,39,N/A
2025-10-26 18:35:35,0A-00-27-00-00-09,User,2.3,40.5,15.1,228,39,N/A
2025-10-26 18:35:48,0A-00-27-00-00-09,User,2.3,40.5,15.1,228,39,N/A
2025-10-26 18:36:01,0A-00-27-00-00-09,User,3.5,40.5,15.1,228,39,N/A
2025-10-26 18:36:14,0A-00-27-00-00-09,User,3.8,40.4,15.1,228,39,N/A
2025-10-26 18:36:27,0A-00-27-00-00-09,User,3.2,40.4,15.1,228,39,N/A
2025-10-26 18:36:40,0A-00-27-00-00-09,User,2.3,40.5,15.1,228,39,N/A
2025-10-26 18:36:53,0A-00-27-00-00-09,User,3.3,40.4,15.1,228,39,N/A
2025-10-26 18:37:05,0A-00-27-00-00-09,User,1.4,40.4,15.1,228,38,N/A
2025-10-26 18:37:19,0A-00-27-00-00-09,User,1.8,40.4,15.1,228,38,N/A
2025-10-26 18:37:31,0A-00-27-00-00-09,User,3.3,40.4,15.1,228,38,N/A
2025-10-26 18:37:44,0A-00-27-00-00-09,User,1.6,40.4,15.1,228,38,N/A
